file,event,length,width,tracesum,tracemax,tracedev,padnum
273_800p.h5,112,13.681560945436747,4.815839834519118,150162.6640625,23800.122826194678,4074.768770884464,30
273_800p.h5,113,13.749348018469362,6.622912967377179,152437.65625,13979.304491033654,3166.4128306250605,31
273_800p.h5,114,13.603003149936955,1.6059768061194548,152955.828125,12440.08934008663,2933.5317225576855,26
273_800p.h5,115,13.595306297260587,1.5567804864813086,152941.916015625,12220.69968518446,2966.016278779293,22
273_800p.h5,116,13.7208098681444,6.179710175222108,150930.515625,15401.223021013537,3202.065729072069,31
273_800p.h5,117,13.558990555652384,4.221358392721258,150982.80078125,12152.624885569918,2897.138579141448,16
273_800p.h5,118,13.662580344832204,6.268262284494852,150357.15624999997,21281.21133606824,3836.3995929489797,34
273_800p.h5,119,13.377482213224686,1.3064369443993469,151997.41796874997,14156.84736165156,3150.1664247295416,19
273_800p.h5,120,13.49446205762638,1.4173066847536846,149452.06640625,14179.896634975636,3082.75730484554,33
273_800p.h5,121,13.75878335203522,6.248579765961834,148441.53125000003,22501.011595285174,3950.0741404908626,38
273_800p.h5,122,13.807592372407248,3.2122977426416433,145329.7822265625,24156.626806260596,4115.418176854693,17
273_800p.h5,123,13.665986286420013,5.5742141836790795,143810.06250000003,22771.85457483239,3898.9260624867766,33
273_800p.h5,124,13.676680028185556,5.705741726814069,150381.2578125,16532.56152558187,3337.6090432766478,30
273_800p.h5,125,13.653056247336607,3.7737110357262744,145746.97265625,13995.930294558146,3097.144920381285,17
273_800p.h5,126,13.760139666563582,4.866428781224918,156135.07421874994,13892.778468190309,3166.1651777508614,23
273_800p.h5,127,13.640836338109166,4.523599492442318,144889.82421875,13694.910285391417,3099.3109699473175,22
273_800p.h5,128,13.681079209370747,3.8478715735942144,144088.08203125,12775.428293773648,2910.300158525668,16
273_800p.h5,129,13.771836052238099,6.053937978985216,148120.36328124994,22293.19735874821,4031.8992191231796,38
273_800p.h5,130,13.485016377807417,5.591028515616594,146055.35546875,19332.810974677006,3664.1702601270085,32
273_800p.h5,131,13.465558916289986,5.360212982941527,150988.24218749994,17595.45192742857,3540.5151888998744,30
273_800p.h5,132,13.565155804032665,6.063703488444308,147187.94140625,11407.006208162744,2811.8803013908578,25
273_800p.h5,133,13.764671571234702,4.90354706189109,140777.703125,22197.793148440083,3878.4684948547874,30
